CLIENTNUM;Attrition_Flag;Customer_Age;Gender;Dependent_count;Education_Level;Marital_Status;Income_Category;Card_Category;Months_on_book;Months_Inactive_12_mon
771071958;Existing Customer;41;F;3;Graduate;Single;Less than $40K;Blue;28;1
720466383;Existing Customer;59;M;1;High School;Unknown;$40K - $60K;Blue;46;1
804424383;Existing Customer;63;M;1;Unknown;Married;$60K - $80K;Blue;56;3
718813833;Existing Customer;44;F;3;Uneducated;Single;Unknown;Blue;34;2
806624208;Existing Customer;47;M;4;High School;Married;$40K - $60K;Blue;42;0
778348233;Existing Customer;53;M;3;Unknown;Married;$80K - $120K;Blue;33;2
712991808;Existing Customer;53;M;2;Uneducated;Married;$60K - $80K;Blue;48;5
709029408;Existing Customer;41;M;4;Graduate;Married;$60K - $80K;Blue;36;1
788658483;Existing Customer;53;F;2;College;Married;Less than $40K;Blue;38;2
787937058;Existing Customer;58;M;0;Graduate;Married;$80K - $120K;Blue;49;2
715318008;Existing Customer;55;F;1;College;Single;Less than $40K;Blue;36;2
713962233;Existing Customer;55;F;3;Graduate;Married;Less than $40K;Blue;36;2
785432733;Existing Customer;42;F;4;High School;Married;Less than $40K;Gold;36;3
715190283;Existing Customer;57;F;1;Graduate;Unknown;$40K - $60K;Blue;49;3
708300483;Attrited Customer;66;F;0;Doctorate;Married;Unknown;Blue;56;4
827111283;Existing Customer;45;M;3;Graduate;Single;$80K - $120K;Blue;41;2
758551608;Existing Customer;51;M;2;Unknown;Married;$40K - $60K;Blue;44;1
773146383;Existing Customer;50;F;1;College;Single;$40K - $60K;Silver;43;2
778493808;Existing Customer;49;M;3;High School;Married;$60K - $80K;Blue;37;2
720572508;Existing Customer;38;F;4;Graduate;Single;Unknown;Blue;28;3
712661433;Existing Customer;49;M;4;Uneducated;Single;$80K - $120K;Blue;30;2
789172683;Existing Customer;56;M;2;Doctorate;Married;$60K - $80K;Blue;45;2
738406533;Existing Customer;59;M;1;Doctorate;Married;$40K - $60K;Blue;52;2
799723908;Existing Customer;46;M;3;High School;Married;$80K - $120K;Blue;40;3
771490833;Existing Customer;52;M;1;College;Single;$80K - $120K;Blue;40;1
720756708;Existing Customer;52;F;3;Unknown;Married;Less than $40K;Blue;41;3
779471883;Attrited Customer;54;F;1;Graduate;Married;Less than $40K;Blue;40;3
711525033;Existing Customer;66;F;0;High School;Married;Less than $40K;Blue;54;4
712813458;Existing Customer;49;M;2;Unknown;Married;$120K +;Blue;36;2
714374133;Attrited Customer;56;M;2;Graduate;Married;$120K +;Blue;36;3
717891558;Existing Customer;49;F;4;Graduate;Unknown;Less than $40K;Blue;36;4
716632758;Existing Customer;49;F;3;Graduate;Single;Less than $40K;Blue;36;2
768563658;Existing Customer;56;M;2;Uneducated;Married;$40K - $60K;Blue;50;2
711427458;Existing Customer;44;F;5;Graduate;Married;Unknown;Blue;35;1
714091983;Existing Customer;42;M;2;High School;Single;$60K - $80K;Blue;34;4
787584108;Existing Customer;55;M;3;Unknown;Married;$80K - $120K;Blue;47;2
712030833;Attrited Customer;48;M;2;Graduate;Married;$60K - $80K;Silver;35;4
711481533;Existing Customer;39;M;1;High School;Divorced;$60K - $80K;Blue;33;3
710082708;Existing Customer;44;M;4;Post-Graduate;Single;$120K +;Blue;32;4
708155733;Existing Customer;53;M;2;High School;Single;$120K +;Blue;44;2
788979258;Existing Customer;51;M;4;Uneducated;Single;$80K - $120K;Silver;38;1
807986133;Existing Customer;57;M;2;College;Married;$60K - $80K;Blue;52;3
788730933;Existing Customer;44;F;2;Uneducated;Single;Less than $40K;Blue;20;3
711314058;Existing Customer;49;M;2;Graduate;Married;$60K - $80K;Blue;32;2
717975333;Existing Customer;50;M;2;Doctorate;Married;$80K - $120K;Blue;38;2
715971108;Existing Customer;51;M;4;Graduate;Single;$120K +;Blue;42;2
720096558;Existing Customer;55;F;2;Graduate;Married;Less than $40K;Blue;42;3
719580033;Existing Customer;54;M;1;Graduate;Unknown;$60K - $80K;Blue;43;2
820582308;Existing Customer;42;M;5;Uneducated;Married;$80K - $120K;Blue;37;2
789973308;Existing Customer;44;M;1;College;Single;$60K - $80K;Blue;35;3
712876233;Existing Customer;53;M;2;Graduate;Single;$80K - $120K;Blue;36;3
804595158;Existing Customer;44;F;4;Graduate;Single;Less than $40K;Blue;36;4
714826758;Existing Customer;37;F;3;Uneducated;Single;Less than $40K;Blue;29;4
779058108;Existing Customer;49;M;3;Graduate;Divorced;$60K - $80K;Blue;30;1
710790258;Existing Customer;47;M;2;Graduate;Married;$80K - $120K;Blue;38;3
715623483;Existing Customer;47;M;3;Graduate;Married;$60K - $80K;Blue;37;4
715156383;Existing Customer;44;M;1;Unknown;Unknown;$120K +;Blue;36;2
711013983;Attrited Customer;55;F;4;Unknown;Married;$40K - $60K;Blue;45;4
755420433;Existing Customer;59;F;1;Graduate;Married;Unknown;Blue;52;3
794543958;Existing Customer;53;M;1;Graduate;Divorced;$80K - $120K;Blue;35;4
716396358;Existing Customer;52;M;2;Graduate;Married;$60K - $80K;Blue;47;3
715398033;Existing Customer;53;M;2;High School;Single;$120K +;Blue;35;2
711743883;Existing Customer;43;F;3;Uneducated;Single;Less than $40K;Blue;35;2
719720058;Existing Customer;44;M;3;High School;Single;$60K - $80K;Blue;31;3
778992108;Existing Customer;57;M;2;Unknown;Married;$120K +;Blue;45;3
717539808;Existing Customer;51;F;2;High School;Single;Less than $40K;Blue;36;2
714070758;Existing Customer;49;M;4;High School;Single;$80K - $120K;Blue;38;3
714107958;Existing Customer;45;M;1;Graduate;Single;$40K - $60K;Blue;36;4
789140283;Existing Customer;53;M;0;Graduate;Single;$80K - $120K;Blue;42;4
715550508;Existing Customer;45;F;3;Unknown;Married;Unknown;Blue;28;1
719712633;Existing Customer;64;M;1;Graduate;Married;Less than $40K;Blue;52;4
772629333;Existing Customer;45;M;3;Graduate;Married;$40K - $60K;Blue;35;4
720336708;Existing Customer;53;M;3;Doctorate;Married;$40K - $60K;Blue;35;3
802013583;Existing Customer;56;M;3;College;Married;$120K +;Blue;50;2
711887583;Attrited Customer;47;M;2;Unknown;Married;$80K - $120K;Blue;37;3
714778833;Existing Customer;49;F;3;College;Single;Unknown;Blue;43;4
713843283;Existing Customer;41;F;3;Unknown;Married;Unknown;Silver;34;3
779155158;Existing Customer;53;M;3;Graduate;Married;$120K +;Blue;34;2
721091583;Existing Customer;44;F;2;Graduate;Single;Less than $40K;Blue;32;3
713572683;Existing Customer;44;M;3;High School;Unknown;$60K - $80K;Blue;25;3
716657058;Existing Customer;43;F;4;Post-Graduate;Married;Less than $40K;Blue;33;3
779509983;Existing Customer;53;M;2;Post-Graduate;Single;$120K +;Blue;36;1
717929133;Existing Customer;44;M;1;Uneducated;Married;$60K - $80K;Blue;36;2
808284783;Existing Customer;62;F;1;Unknown;Married;Less than $40K;Blue;56;0
708476808;Existing Customer;54;M;4;Unknown;Divorced;$120K +;Blue;36;3
710916408;Existing Customer;57;M;4;Graduate;Married;$60K - $80K;Blue;39;3
708492558;Existing Customer;42;M;3;Unknown;Married;$60K - $80K;Blue;36;3
799825758;Existing Customer;42;M;4;High School;Divorced;$60K - $80K;Blue;36;1
718619883;Existing Customer;54;F;0;Uneducated;Married;Less than $40K;Blue;36;2
711844758;Existing Customer;48;M;3;Graduate;Single;$80K - $120K;Blue;35;1
714798783;Existing Customer;49;M;1;Graduate;Single;$80K - $120K;Blue;36;2
826762908;Existing Customer;52;M;3;High School;Unknown;$80K - $120K;Blue;48;2
771894558;Existing Customer;50;M;3;High School;Single;$80K - $120K;Blue;39;1
721074183;Existing Customer;49;M;1;Doctorate;Married;$60K - $80K;Blue;36;6
715259583;Existing Customer;53;F;2;High School;Married;Less than $40K;Blue;44;2
718414008;Existing Customer;50;M;2;Graduate;Single;$120K +;Blue;36;2
719666283;Existing Customer;55;F;1;Doctorate;Married;Less than $40K;Blue;36;1
714877233;Existing Customer;53;M;1;High School;Married;$80K - $120K;Blue;47;2
785387883;Existing Customer;47;F;3;High School;Single;$40K - $60K;Blue;41;3
771075258;Existing Customer;55;M;2;College;Single;$120K +;Silver;42;3
711318033;Existing Customer;47;M;3;Graduate;Single;$60K - $80K;Blue;36;2
783554958;Existing Customer;58;M;4;Graduate;Single;$120K +;Blue;52;1
720201033;Attrited Customer;53;M;2;Graduate;Married;$80K - $120K;Blue;41;3
718039683;Existing Customer;52;M;2;High School;Single;$40K - $60K;Blue;45;1
710806083;Existing Customer;50;F;1;Uneducated;Unknown;Less than $40K;Silver;36;2
714752208;Existing Customer;42;F;1;Graduate;Married;Less than $40K;Blue;36;1
822063408;Existing Customer;43;M;4;Unknown;Married;$40K - $60K;Blue;39;1
714490308;Existing Customer;57;M;4;Graduate;Married;$80K - $120K;Blue;46;2
713356833;Existing Customer;52;M;1;Graduate;Married;$80K - $120K;Blue;43;1
711402333;Existing Customer;47;M;2;Doctorate;Single;Less than $40K;Blue;37;1
708296883;Existing Customer;44;F;3;Graduate;Single;$40K - $60K;Blue;38;1
719154483;Existing Customer;53;M;2;High School;Divorced;$60K - $80K;Blue;36;3
717721458;Existing Customer;45;M;4;College;Divorced;$60K - $80K;Blue;40;1
711112683;Existing Customer;63;F;1;College;Married;Unknown;Blue;36;2
715674483;Existing Customer;39;F;2;Post-Graduate;Single;Less than $40K;Blue;27;2
789322833;Attrited Customer;48;F;5;High School;Married;Less than $40K;Blue;38;3
789968058;Existing Customer;51;M;1;Unknown;Single;$120K +;Blue;42;2
709919283;Existing Customer;54;M;4;Graduate;Married;$80K - $120K;Blue;34;3
718744008;Existing Customer;59;F;1;Graduate;Single;Less than $40K;Blue;36;2
767712558;Attrited Customer;59;M;1;College;Single;$60K - $80K;Blue;53;3
712950783;Attrited Customer;48;F;4;Uneducated;Married;Less than $40K;Blue;38;2
716104983;Existing Customer;41;F;2;Graduate;Single;Less than $40K;Blue;32;3
818839983;Existing Customer;55;M;2;Graduate;Married;$120K +;Blue;50;2
772288758;Existing Customer;47;F;4;Graduate;Married;Unknown;Blue;36;1
712350858;Existing Customer;41;M;2;High School;Married;$80K - $120K;Blue;24;1
711009708;Existing Customer;40;M;3;High School;Single;$80K - $120K;Blue;28;1
712720158;Existing Customer;68;M;1;Graduate;Married;Unknown;Blue;56;2
712215258;Existing Customer;50;F;1;Graduate;Single;$40K - $60K;Silver;31;2
773827008;Existing Customer;47;M;4;Uneducated;Single;$60K - $80K;Blue;41;2
795232683;Existing Customer;53;F;1;College;Married;Less than $40K;Blue;47;2
713786508;Existing Customer;42;F;5;Unknown;Married;$40K - $60K;Blue;36;3
713539833;Existing Customer;48;F;4;High School;Single;$40K - $60K;Blue;38;1
712454058;Existing Customer;49;M;1;Doctorate;Married;$120K +;Blue;38;1
718759833;Existing Customer;44;F;2;Uneducated;Married;Unknown;Silver;35;3
718803333;Existing Customer;43;F;4;Graduate;Divorced;Less than $40K;Blue;34;3
720253908;Existing Customer;56;M;0;High School;Married;$80K - $120K;Blue;43;2
714133158;Existing Customer;59;F;1;College;Single;Unknown;Blue;36;3
713187033;Existing Customer;46;M;1;Uneducated;Married;$60K - $80K;Blue;36;2
714791208;Existing Customer;47;F;4;Unknown;Divorced;Less than $40K;Blue;41;5
772426383;Existing Customer;50;F;4;Uneducated;Married;$40K - $60K;Blue;40;2
710975883;Existing Customer;51;F;3;Uneducated;Married;Less than $40K;Blue;43;1
714264408;Existing Customer;47;F;3;Uneducated;Married;Less than $40K;Blue;36;1
715827858;Existing Customer;58;F;4;Uneducated;Married;Less than $40K;Blue;47;3
713741358;Attrited Customer;46;M;5;Graduate;Single;$80K - $120K;Blue;33;3
709531908;Existing Customer;53;M;3;High School;Married;$60K - $80K;Blue;47;2
716493408;Existing Customer;45;F;4;Uneducated;Divorced;Unknown;Blue;36;3
714141108;Existing Customer;52;F;1;High School;Married;Less than $40K;Blue;45;3
708953883;Attrited Customer;53;M;2;Unknown;Married;$80K - $120K;Blue;36;2
712608783;Existing Customer;50;M;2;High School;Married;$80K - $120K;Silver;45;1
820353558;Existing Customer;41;F;3;High School;Married;$40K - $60K;Blue;36;1
714964758;Existing Customer;45;F;5;Graduate;Divorced;$40K - $60K;Blue;36;2
716264358;Existing Customer;53;M;3;Uneducated;Married;$80K - $120K;Blue;42;1
717296808;Existing Customer;67;F;1;Graduate;Married;Less than $40K;Blue;56;3
712977183;Existing Customer;57;F;2;Uneducated;Single;$40K - $60K;Silver;36;3
710829108;Existing Customer;59;F;1;Uneducated;Married;$40K - $60K;Blue;36;2
779562633;Existing Customer;45;M;2;Uneducated;Married;$40K - $60K;Blue;34;2
715315833;Existing Customer;51;M;3;Graduate;Married;$80K - $120K;Blue;36;2
815500983;Existing Customer;59;F;1;Uneducated;Married;Less than $40K;Blue;54;3
719360583;Existing Customer;53;M;1;Graduate;Married;$60K - $80K;Blue;45;2
709701558;Existing Customer;47;M;3;Graduate;Married;$60K - $80K;Blue;36;1
721148358;Existing Customer;49;F;3;Uneducated;Single;Unknown;Blue;38;2
779862408;Existing Customer;49;M;3;Post-Graduate;Single;$80K - $120K;Blue;33;1
812627208;Existing Customer;60;F;0;College;Single;Less than $40K;Blue;55;1
711033408;Existing Customer;50;F;2;High School;Married;Less than $40K;Blue;36;1
779956608;Existing Customer;41;F;2;Post-Graduate;Married;Unknown;Blue;31;1
780376683;Existing Customer;57;M;1;Graduate;Married;$80K - $120K;Blue;47;3
717912483;Existing Customer;43;M;4;Graduate;Unknown;$80K - $120K;Blue;27;2
714454758;Existing Customer;57;F;3;Graduate;Married;Less than $40K;Blue;47;2
780466533;Existing Customer;54;M;3;Doctorate;Married;$120K +;Blue;41;3
715735233;Existing Customer;51;F;5;Post-Graduate;Married;Less than $40K;Blue;44;1
720476733;Existing Customer;47;F;3;High School;Married;Less than $40K;Blue;34;1
715872333;Existing Customer;41;M;0;High School;Unknown;$120K +;Blue;36;2
712375758;Existing Customer;53;M;3;Uneducated;Married;$80K - $120K;Blue;43;3
708868233;Attrited Customer;68;M;0;High School;Married;Less than $40K;Blue;52;3
718030083;Existing Customer;59;M;1;College;Married;$60K - $80K;Blue;36;1
720707283;Existing Customer;48;M;4;Unknown;Married;$80K - $120K;Blue;36;3
771698658;Existing Customer;44;M;5;Graduate;Married;$60K - $80K;Blue;32;5
748326258;Existing Customer;48;M;3;College;Married;$80K - $120K;Blue;41;5
770817783;Existing Customer;47;M;4;Graduate;Married;$60K - $80K;Silver;33;2
779353083;Existing Customer;47;M;2;Graduate;Married;$60K - $80K;Silver;32;2
711441333;Existing Customer;43;F;1;High School;Divorced;Less than $40K;Silver;35;2
719808558;Attrited Customer;55;F;2;Graduate;Married;Less than $40K;Blue;43;4
711551958;Attrited Customer;59;M;2;Post-Graduate;Married;$60K - $80K;Blue;46;3
809164083;Existing Customer;63;M;1;Graduate;Married;$40K - $60K;Blue;56;1
820596183;Existing Customer;58;M;2;College;Married;$120K +;Blue;53;3
715999608;Existing Customer;53;F;2;High School;Married;Less than $40K;Blue;36;1
710565408;Existing Customer;59;M;0;Unknown;Unknown;$80K - $120K;Silver;40;2
805543158;Existing Customer;52;M;3;Graduate;Married;$120K +;Blue;47;3
709752183;Existing Customer;48;M;3;High School;Single;$60K - $80K;Blue;36;2
716479233;Existing Customer;43;M;4;High School;Married;$40K - $60K;Blue;36;3
713837058;Existing Customer;48;M;2;College;Single;Less than $40K;Blue;36;2
718876683;Existing Customer;43;F;4;Graduate;Single;Less than $40K;Blue;31;2
770746908;Existing Customer;44;M;4;Unknown;Married;$60K - $80K;Blue;30;1
794843883;Existing Customer;41;M;3;High School;Married;$80K - $120K;Blue;35;1
803043933;Existing Customer;44;F;3;Uneducated;Divorced;Less than $40K;Silver;38;1
758076408;Existing Customer;50;M;2;Unknown;Single;$40K - $60K;Blue;43;1
714606558;Existing Customer;60;F;1;Uneducated;Married;Less than $40K;Blue;36;1
778425408;Existing Customer;44;M;4;Graduate;Single;$80K - $120K;Blue;24;3
714171108;Existing Customer;48;F;3;Graduate;Divorced;$40K - $60K;Blue;39;2
719662458;Existing Customer;44;F;2;Graduate;Divorced;Less than $40K;Blue;27;2
713137233;Existing Customer;41;M;2;High School;Single;$80K - $120K;Blue;28;3
769425858;Existing Customer;45;M;3;College;Single;$60K - $80K;Blue;32;1
711297483;Existing Customer;47;F;2;Uneducated;Divorced;Less than $40K;Silver;34;4
788900883;Existing Customer;51;F;2;Graduate;Married;Less than $40K;Blue;36;1
758348808;Existing Customer;51;M;2;Graduate;Married;$120K +;Blue;44;3
772336458;Attrited Customer;60;F;1;Uneducated;Married;$40K - $60K;Blue;50;4
708711483;Existing Customer;57;M;2;Unknown;Married;$80K - $120K;Blue;46;3
717906783;Existing Customer;41;M;5;Graduate;Single;$120K +;Blue;29;2
719437908;Existing Customer;44;M;3;Post-Graduate;Divorced;$80K - $120K;Blue;36;2
769433508;Existing Customer;43;M;1;College;Single;$60K - $80K;Blue;37;3
790096533;Existing Customer;55;M;2;College;Married;$60K - $80K;Blue;48;3
720997383;Attrited Customer;52;M;1;Uneducated;Married;$80K - $120K;Blue;36;3
787541883;Existing Customer;44;M;3;Graduate;Unknown;$80K - $120K;Blue;33;3
709930758;Existing Customer;41;M;2;Uneducated;Married;$40K - $60K;Blue;30;3
789830058;Existing Customer;44;M;4;Unknown;Single;$80K - $120K;Blue;34;1
710299608;Attrited Customer;53;F;2;Unknown;Married;Less than $40K;Blue;33;3
710741208;Existing Customer;39;M;2;High School;Single;$80K - $120K;Blue;36;2
821797008;Attrited Customer;49;M;5;College;Married;$40K - $60K;Blue;45;2
708874533;Attrited Customer;45;F;2;College;Married;Less than $40K;Blue;36;3
715341858;Existing Customer;54;M;2;Graduate;Married;$80K - $120K;Blue;46;2
793636308;Existing Customer;49;M;3;Uneducated;Single;$80K - $120K;Blue;43;2
713779908;Existing Customer;46;F;3;Doctorate;Single;Unknown;Blue;36;3
712125258;Attrited Customer;46;M;4;High School;Married;$120K +;Blue;30;3
709703433;Existing Customer;47;M;3;Graduate;Married;$60K - $80K;Blue;38;1
721022433;Existing Customer;44;M;2;Doctorate;Single;$60K - $80K;Blue;36;1
710103558;Existing Customer;50;M;3;Post-Graduate;Single;$120K +;Blue;31;1
715952883;Existing Customer;73;M;0;High School;Married;$40K - $60K;Blue;36;3
719731458;Existing Customer;56;M;3;Unknown;Unknown;$40K - $60K;Blue;46;3
772390908;Attrited Customer;59;M;0;High School;Single;$40K - $60K;Blue;48;4
787348608;Existing Customer;70;M;0;High School;Married;Less than $40K;Blue;56;2
709485033;Existing Customer;55;F;2;High School;Married;Less than $40K;Blue;36;3
715432608;Existing Customer;43;M;4;Unknown;Single;$60K - $80K;Blue;36;1
799471833;Existing Customer;45;M;1;Uneducated;Single;$120K +;Blue;39;2
714187533;Existing Customer;45;F;2;Uneducated;Single;$40K - $60K;Blue;35;3
779656908;Existing Customer;40;M;1;Graduate;Married;$40K - $60K;Blue;23;3
788950158;Existing Customer;36;M;2;College;Unknown;$80K - $120K;Blue;22;2
778867533;Attrited Customer;59;F;0;Post-Graduate;Married;$40K - $60K;Blue;40;4
710620383;Existing Customer;43;M;4;Unknown;Married;$60K - $80K;Blue;35;3
778661358;Existing Customer;46;F;1;Unknown;Married;Less than $40K;Blue;36;3
789483333;Existing Customer;41;M;2;Uneducated;Married;$40K - $60K;Blue;32;1
809855808;Existing Customer;51;F;2;Graduate;Married;Less than $40K;Blue;46;2
718464258;Existing Customer;51;F;3;Unknown;Unknown;Less than $40K;Blue;25;2
708528483;Existing Customer;43;F;4;Graduate;Divorced;Unknown;Blue;23;3
771809733;Attrited Customer;64;F;0;High School;Married;$40K - $60K;Blue;53;3
719942883;Existing Customer;54;M;5;Graduate;Married;$60K - $80K;Blue;38;3
807226683;Existing Customer;48;M;3;Unknown;Single;$40K - $60K;Blue;43;1
717806133;Existing Customer;40;M;2;Uneducated;Divorced;$60K - $80K;Blue;29;3
720615708;Existing Customer;57;M;0;Uneducated;Married;$40K - $60K;Blue;45;2
714511758;Existing Customer;45;M;4;Graduate;Single;$80K - $120K;Blue;40;3
715050408;Existing Customer;41;M;3;High School;Single;$80K - $120K;Blue;36;3
721132233;Existing Customer;42;F;4;Uneducated;Married;Less than $40K;Blue;31;2
719211558;Attrited Customer;45;M;2;Graduate;Single;$60K - $80K;Blue;36;1
712069008;Existing Customer;42;F;4;Uneducated;Married;Less than $40K;Blue;23;2
715996983;Existing Customer;47;M;4;Uneducated;Divorced;$80K - $120K;Blue;30;2
773466258;Existing Customer;48;F;4;High School;Married;$40K - $60K;Blue;42;1
798983508;Existing Customer;43;M;1;Graduate;Single;$80K - $120K;Silver;37;3
719117433;Existing Customer;41;M;4;High School;Unknown;$80K - $120K;Blue;36;3
716451183;Existing Customer;54;F;1;Uneducated;Married;$40K - $60K;Blue;44;2
718621608;Attrited Customer;54;F;2;High School;Married;Unknown;Blue;44;3
715085733;Existing Customer;61;M;0;Graduate;Married;$40K - $60K;Blue;52;1
788977833;Existing Customer;61;M;0;Uneducated;Married;$80K - $120K;Blue;48;1
720272958;Attrited Customer;48;M;2;High School;Married;$120K +;Blue;36;3
708421833;Existing Customer;45;F;4;Graduate;Single;Less than $40K;Blue;36;3
709173108;Attrited Customer;54;F;4;Graduate;Married;Unknown;Blue;40;2
709879458;Existing Customer;54;F;3;Doctorate;Married;Unknown;Blue;46;2
715120608;Existing Customer;44;M;3;Graduate;Single;$60K - $80K;Blue;37;3
770632758;Existing Customer;50;F;4;Doctorate;Single;Unknown;Blue;36;3
779078733;Existing Customer;55;M;2;Doctorate;Married;$60K - $80K;Blue;36;4
771742533;Existing Customer;48;M;2;Graduate;Unknown;$40K - $60K;Blue;36;1
720250158;Existing Customer;45;M;2;College;Single;$60K - $80K;Blue;33;3
716458983;Existing Customer;60;M;0;High School;Married;$40K - $60K;Blue;36;1
713747733;Existing Customer;55;M;2;High School;Married;$40K - $60K;Blue;47;3
712270158;Existing Customer;62;F;0;High School;Married;$40K - $60K;Blue;52;2
789562383;Existing Customer;38;F;1;High School;Unknown;Less than $40K;Blue;30;3
754897008;Existing Customer;46;M;3;High School;Single;$40K - $60K;Blue;39;3
819700533;Existing Customer;50;M;0;High School;Single;$120K +;Silver;45;2
712890408;Existing Customer;45;M;2;Uneducated;Married;$60K - $80K;Blue;36;3
720248208;Existing Customer;47;M;3;Post-Graduate;Divorced;$60K - $80K;Blue;37;3
779749908;Existing Customer;48;M;4;College;Married;$60K - $80K;Gold;33;2
717401883;Existing Customer;35;M;3;Uneducated;Married;$60K - $80K;Blue;22;2
721509558;Existing Customer;51;M;2;Graduate;Married;$120K +;Blue;42;3
710572458;Existing Customer;36;F;3;High School;Married;Unknown;Blue;24;1
714576183;Existing Customer;47;M;4;Graduate;Single;$80K - $120K;Blue;36;3
721425558;Existing Customer;52;M;2;Graduate;Single;$120K +;Blue;37;3
711109908;Existing Customer;43;F;4;Uneducated;Married;Less than $40K;Blue;36;1
715203108;Existing Customer;63;M;2;High School;Married;$40K - $60K;Blue;36;2
710027508;Existing Customer;61;M;0;Graduate;Married;$60K - $80K;Blue;54;2
787464408;Existing Customer;53;M;2;Uneducated;Single;$60K - $80K;Blue;40;2
783542133;Existing Customer;53;F;3;Graduate;Married;Less than $40K;Blue;47;6
708330858;Attrited Customer;57;M;3;Graduate;Married;$120K +;Blue;38;3
714426783;Existing Customer;38;F;2;Graduate;Single;Unknown;Blue;31;3
712701333;Existing Customer;53;M;3;High School;Married;$60K - $80K;Blue;43;3
709494483;Existing Customer;63;F;0;Unknown;Married;Less than $40K;Blue;54;2
773373108;Existing Customer;49;F;4;High School;Married;Less than $40K;Blue;43;2
715812258;Existing Customer;45;M;2;High School;Married;$80K - $120K;Blue;34;5
778286433;Existing Customer;67;M;0;Graduate;Married;$40K - $60K;Blue;56;2
789270033;Existing Customer;48;M;3;Graduate;Single;$80K - $120K;Silver;37;2
711569433;Existing Customer;51;F;2;Uneducated;Divorced;Less than $40K;Blue;38;1
720214833;Existing Customer;52;M;2;High School;Single;$80K - $120K;Silver;40;3
709346133;Existing Customer;55;F;2;Uneducated;Married;Unknown;Blue;35;3
788194458;Existing Customer;34;M;3;High School;Married;$60K - $80K;Blue;26;3
720779733;Existing Customer;56;M;1;Uneducated;Married;$120K +;Blue;36;2
717424458;Existing Customer;44;F;2;Post-Graduate;Married;Less than $40K;Blue;36;3
708820308;Existing Customer;47;M;3;Post-Graduate;Unknown;$80K - $120K;Blue;36;2
710558058;Existing Customer;46;F;3;Unknown;Married;Less than $40K;Blue;38;3
770590758;Existing Customer;43;F;3;Graduate;Single;$40K - $60K;Blue;29;2
718490658;Existing Customer;50;F;1;Graduate;Single;Less than $40K;Blue;36;1
711985833;Existing Customer;38;F;4;Uneducated;Single;Less than $40K;Blue;30;1
708967608;Existing Customer;53;F;1;Graduate;Single;Less than $40K;Blue;45;1
718505958;Existing Customer;43;M;5;Graduate;Divorced;$120K +;Silver;31;3
715024233;Existing Customer;53;M;1;High School;Married;$120K +;Blue;36;3
779249583;Existing Customer;56;F;1;Graduate;Married;Less than $40K;Blue;38;3
709278258;Attrited Customer;54;M;2;Unknown;Married;$40K - $60K;Blue;44;3
778928283;Existing Customer;57;F;3;High School;Married;Less than $40K;Blue;39;2
712299858;Existing Customer;62;M;1;High School;Married;Less than $40K;Blue;53;3
799224108;Existing Customer;46;F;4;Graduate;Single;Less than $40K;Blue;40;1
809976033;Existing Customer;49;M;2;Uneducated;Married;$60K - $80K;Blue;44;3
716203308;Existing Customer;52;M;3;Graduate;Single;$80K - $120K;Blue;42;3
